id,type,difficulty,category,question,correct_answer
54,boolean,easy,Entertainment: Books,Green Eggs and Ham consists of only 50 different words.,TRUE
55,boolean,easy,Entertainment: Books,Stephen Chbosky wrote the book The Perks of Being A Wallflower.,TRUE
56,boolean,easy,Entertainment: Books,"Elementary, my dear Watson is a phrase that is never truly said within the Conan Doyle books of Sherlock Holmes.",TRUE
57,boolean,easy,Entertainment: Books,Shub-Niggurath is a creature that was created by 	J. R. R. Tolkien in his novel The Lord of The Rings.,FALSE
58,boolean,medium,Entertainment: Books,"Originally, the character Charlie from Charlie and the Chocolate Factory was going to be black.",TRUE
59,boolean,easy,Entertainment: Books,The book 1984 was published in 1949.,TRUE
60,boolean,easy,Entertainment: Books,"The Harry Potter series of books, combined, are over 1,000,000 words in length.",TRUE
61,boolean,medium,Entertainment: Film,The movie Tron received an Oscar nomination for Best Visual Effects.,FALSE
62,boolean,easy,Entertainment: Film,"In the original Star Wars trilogy, Alec Guinness provided the voice for Darth Vader.",FALSE
63,boolean,easy,Entertainment: Film,"Samuel L. Jackson had the words, Bad Motherf*cker in-scripted on his lightsaber during the filming of Star Wars.",TRUE
64,boolean,easy,Entertainment: Film,Brandon Routh plays the titular character in the movie John Wick.,FALSE
65,boolean,hard,Entertainment: Film,The weapon Clint Eastwood uses in Dirty Harry was a .44 Automag.,FALSE
66,boolean,easy,Entertainment: Film,Ewan McGregor did not know the name of the second prequel film of Star Wars during and after filming.,TRUE
67,boolean,easy,Entertainment: Film,Leonardo DiCaprio won an Oscar for Best Actor in 2004s The Aviator.,FALSE
68,boolean,easy,Entertainment: Film,The 2010 film The Social Network is a biographical drama film about MySpace founder Tom Anderson.,FALSE
69,boolean,easy,Entertainment: Film,"In the original script of The Matrix, the machines used humans as additional computing power instead of batteries.",TRUE
70,boolean,hard,Entertainment: Film,"Cube, Cube 2: Hypercube and Cube Zero were directed by the same person.",FALSE
71,boolean,medium,Entertainment: Film,The color of the pills in the Matrix were Blue and Yellow.,FALSE
72,boolean,easy,Entertainment: Film,Actor Tommy Chong served prison time.,TRUE
73,boolean,easy,Entertainment: Film,"Minions was released on the June 10th, 2015.",FALSE
74,boolean,easy,Entertainment: Film,Matt Damon played an astronaut stranded on an extraterrestrial planet in both of the movies Interstellar and The Martian.,TRUE
75,boolean,easy,Entertainment: Film,"In the original Star Wars trilogy, David Prowse was the actor who physically portrayed Darth Vader.",TRUE
76,boolean,easy,Entertainment: Film,In Alfred Hitchcocks film Psycho it is said he used chocolate syrup to simulate the blood in the famous shower scene from ,TRUE
77,boolean,medium,Entertainment: Film,The Xenomorph from the science fiction film Alien has acidic blood.,TRUE
78,boolean,medium,Entertainment: Film,There arent any live-action clones in Star Wars: Episode III - Revenge of the Sith.,TRUE
79,boolean,easy,Entertainment: Film,"In the movie The Revenant, DiCaprios character hunts down the killer of his son.",TRUE
80,boolean,easy,Entertainment: Film,The movie The Nightmare before Christmas was all done with physical objects.,TRUE
81,boolean,hard,Entertainment: Music,The song Mystery Train was released by artist Little Juniors Blue Flames in 1953.,TRUE
82,boolean,easy,Entertainment: Music,"In 1993, Prince changed his name to an unpronounceable symbol because he was unhappy with his contract with Warner Bros.",TRUE
83,boolean,easy,Entertainment: Music,American rapper Dr. Dre actually has a Ph.D. doctorate.,FALSE
84,boolean,medium,Entertainment: Music,"3 members of 2 Live Crew were arrested for playing songs from their album, As Nasty As They Wanna Be, live.",TRUE
85,boolean,medium,Entertainment: Music,EDM label Monstercat signs tracks instead of artists.,TRUE
86,boolean,hard,Entertainment: Music,"Pete Townshends solo album, White City: A Novel, is set in the metropolitan area of Chicago.",FALSE
87,boolean,easy,Entertainment: Music,"The alternative rock band, They Might Be Giants, released their album Flood in 1990. ",TRUE
88,boolean,easy,Entertainment: Music,Scatman Johns real name was John Paul Larkin.,TRUE
89,boolean,easy,Entertainment: Music,Eurobeat is primarily an Italian genre of music.,TRUE
90,boolean,medium,Entertainment: Music,Ashley Frangipane performs under the stage name Halsey.,TRUE
91,boolean,medium,Entertainment: Music,The Division Bell is the final album of the progressive rock band Pink Floyd.,FALSE
92,boolean,easy,Entertainment: Music,Stevie Wonders real name is Stevland Hardaway Morris.,TRUE
93,boolean,medium,Entertainment: Music,Arcade Fires The Suburbs won the Album of the Year award in the 2011 Grammys.,TRUE
94,boolean,hard,Entertainment: Music,The band STRFKR was also briefly known as Pyramiddd.,TRUE
95,boolean,easy,Entertainment: Music,A Saxophone is a brass instrument.,FALSE
96,boolean,medium,Entertainment: Music,Nick Mason is the only member to appear on every Pink Floyd album.,TRUE
97,boolean,easy,Entertainment: Music,Muse is a British (English) rock band,TRUE
98,boolean,medium,Entertainment: Music,Metallica collaborated with Rowan Atkinsons Mr Bean on a 1992 comic relief single.,FALSE
99,boolean,medium,Entertainment: Music,Soulja Boys Crank That won a Grammy for Best Rap Song in 2007.,FALSE
100,boolean,easy,Entertainment: Music,Lead Singer Rivers Cuomo of American rock band Weezer attended Harvard.,TRUE
101,boolean,medium,Entertainment: Music,"Dave Grohl recorded the Foo Fighters debut, Foo Fighters, by himself.",TRUE
102,boolean,hard,Entertainment: Music,The singer Billie Holiday was also known as Lady Day.,TRUE
103,boolean,medium,Entertainment: Music,Neutral Milk Hotel is a real band.,TRUE
104,boolean,medium,Entertainment: Music,The cover of The Beatles album Abbey Road featured a Volkswagen Beetle in the background.,TRUE
105,boolean,medium,Entertainment: Music,"Scottish producer Calvin Harris is from the town of Dumfries, Scotland.",TRUE
106,boolean,easy,Entertainment: Music,The music group Daft Punk got their name from a negative review they recieved.,TRUE
107,boolean,easy,Entertainment: Music,The music video to The Buggles Video Killed the Radio Star was the first music video to broadcast on MTV.,TRUE
108,boolean,medium,Entertainment: Music,Pink Guys debut album was Pink Season.,FALSE
109,boolean,medium,Entertainment: Music,Green Days album American Idiot is considered a punk rock opera.,TRUE
110,boolean,medium,Entertainment: Music,"For his performance at ComplexCon 2016 in Long Beach, California, Skrillex revived his Mothership set piece for one night only.",TRUE
111,boolean,easy,Entertainment: Video Games,Big the Cat is a playable character in Sonic Generations.,FALSE
112,boolean,medium,Entertainment: Video Games,Metal Gear Solid V: The Phantom Pain runs on the Fox Engine.,TRUE
113,boolean,easy,Entertainment: Video Games,"In Super Mario Bros., the clouds and bushes have the same artwork and are just different colors.",TRUE
114,boolean,easy,Entertainment: Video Games,Pac-Man was invented by the designer Toru Iwatani while he was eating pizza.,TRUE
115,boolean,medium,Entertainment: Video Games,"In Rocket League, you can play Basketball.",TRUE
116,boolean,easy,Entertainment: Video Games,"In Terraria, you can craft the Cell Phone pre-hardmode.",TRUE
117,boolean,easy,Entertainment: Video Games,Nintendos Luigi was originally just called Green Mario?,FALSE
118,boolean,easy,Entertainment: Video Games,The game Jetpack Joyride was created by Redbrick Studios.,FALSE
119,boolean,easy,Entertainment: Video Games,"In Until Dawn, both characters Sam and Mike cannot be killed under any means until the final chapter of the game.",TRUE
120,boolean,medium,Entertainment: Video Games,Amazon acquired Twitch in August 2014 for $970 million dollars.,TRUE
121,boolean,hard,Entertainment: Video Games,"In Minecraft, gold tools are faster than diamond tools.",TRUE
122,boolean,easy,Entertainment: Video Games,Half-Life 2 runs on the Source Engine.,TRUE
123,boolean,medium,Entertainment: Video Games,"In Monster Hunter Generations, guild style is a type of hunting style.",TRUE
124,boolean,easy,Entertainment: Video Games,"In RuneScape, one must complete the Dragon Slayer quest before equipping Rune Platelegs.",FALSE
125,boolean,medium,Entertainment: Video Games,In the game Until Dawn Emily is the only playable character who can be killed by another playable character directly.,TRUE
126,boolean,easy,Entertainment: Video Games,The ghosts in Pac-Man and Ms. Pac-Man have completely different behavior.,TRUE
127,boolean,medium,Entertainment: Video Games,"In League of Legends, there exists four different types of Dragon.",FALSE
128,boolean,medium,Entertainment: Video Games,"TF2: The Heavys voice actor, Gary Schwartz, voices the Demoman as well ",TRUE
129,boolean,medium,Entertainment: Video Games,"During pre-production of Super Mario Bros., Mario originally was meant to shoot bullets.",TRUE
130,boolean,easy,Entertainment: Video Games,The song Megalovania by Toby Fox made its third appearence in the 2015 RPG Undertale.,TRUE
131,boolean,easy,Entertainment: Video Games,The ultimate phrase used by Pharah from Overwatch is: Justice rains from above!,TRUE
132,boolean,easy,Entertainment: Video Games,"In Sonic the Hedgehog universe, Tails real name is Miles Prower.",TRUE
133,boolean,easy,Entertainment: Video Games,The game Pocket Morty has a Morty called Pocket Mortys Morty?,TRUE
134,boolean,easy,Entertainment: Video Games,There are 6 legendary cards in Clash Royale.,FALSE
135,boolean,easy,Entertainment: Video Games,"In Super Mario 64, collecting 100 coins on a level will give you a 1-UP.",FALSE
136,boolean,easy,Entertainment: Video Games,"In Super Mario 3D World, the Double Cherry power-up originated from a developer accidentally making two characters controllable.",TRUE
137,boolean,easy,Entertainment: Video Games,The names of Tom Nooks cousins in the Animal Crossing franchise are named Timmy and Jimmy.,FALSE
138,boolean,medium,Entertainment: Video Games,Resident Evil 4 was originally meant to be a Nintendo GameCube exclusive.,TRUE
139,boolean,easy,Entertainment: Video Games,Luigi is taller than Mario?,TRUE
140,boolean,easy,Entertainment: Video Games,"In the video game Splatoon, the playable characters were originally going to be rabbits instead of squids.",TRUE
141,boolean,hard,Entertainment: Video Games,Unturned originally started as a Roblox game.,TRUE
142,boolean,easy,Entertainment: Video Games,"In Resident Evil 4, the Chicago Typewriter has infinite ammo.",TRUE
143,boolean,medium,Entertainment: Video Games,"In Overwatch, an allied McCree will say Step right up upon using his ultimate ability Deadeye.",TRUE
144,boolean,easy,Entertainment: Video Games,"In the Monster Hunter Series, it is possible to capture Elder Dragons.",FALSE
145,boolean,easy,Entertainment: Video Games,"In Undertale, the main character of the game is Sans.",FALSE
146,boolean,hard,Entertainment: Video Games,"In Call Of Duty: World At War, the first appearance of the PPSH-41 in Zombies was in the map Der Riese.",FALSE
147,boolean,easy,Entertainment: Video Games,The Mann Co. Store from Team Fortress 2 has the slogan We hire mercenaries and get in fights.,FALSE
148,boolean,easy,Entertainment: Video Games,"In Team Fortress 2, being disguised as a scout or medic results in a speed boost.",FALSE
149,boolean,hard,Entertainment: Video Games,"In Undertale, having a Fun Value set to 56-57 will play the Wrong Number Song Call.",FALSE
150,boolean,hard,Entertainment: Video Games,"All of these maps were in Tom Clancys Rainbow Six Siege on its initial release: House, Clubhouse, Border, Consulate.",FALSE
151,boolean,medium,Entertainment: Video Games,Pistons were added to Minecraft in Beta 1.5.,FALSE
152,boolean,easy,Entertainment: Video Games,Solid Snake is actually a clone from the DNA of Big Boss in the Metal Gear Solid series history.,TRUE
153,boolean,medium,Entertainment: Video Games,The ADAM collecters in the Bioshock series are known as Little Sisters.,TRUE
154,boolean,medium,Entertainment: Video Games,"In the game Subnautica, a Cave Crawler will attack you.",TRUE
155,boolean,medium,Entertainment: Video Games,"In Starbound, the track played by the Decorated Music Box is named Atlas.",TRUE
156,boolean,easy,Entertainment: Video Games,"In Pokemon Sun and Moon, a male Salandit can evolve to a Salazzle.",FALSE
157,boolean,easy,Entertainment: Video Games,"In Sonic Adventure, you are able to transform into Super Sonic at will after completing the main story.",FALSE
158,boolean,easy,Entertainment: Video Games,"The Konami Code is known as Up, Up, Down, Down, Left, Right, Right, Left, B, A, Start.",FALSE
159,boolean,easy,Entertainment: Video Games,The main character in the Half-Life franchise is named Morgan Freeman.,FALSE
160,boolean,easy,Entertainment: Video Games,Resident Evil 7 is the first first-person Resident Evil game.,FALSE
161,boolean,medium,Science: Nature,Tachycardia or Tachyarrhythmia refers to a resting heart-rate near or over 100 BPM.,TRUE
162,boolean,medium,Science: Nature,The planet Mars has two moons orbiting it.,TRUE
163,boolean,medium,Science: Nature,Type 1 diabetes is a result of the liver working improperly.,FALSE
164,boolean,medium,Science: Nature,Pneumonoultramicroscopicsilicovolcanoconiosis is a synonym for the disease known as silicosis.,TRUE
165,boolean,medium,Science: Nature,Anatomy considers the forms of macroscopic structures such as organs and organ systems.,TRUE
166,boolean,medium,Science: Nature,"Like with the Neanderthals, Homo sapiens sapiens also interbred with the Denisovans.",TRUE
167,boolean,easy,Science: Nature,Igneous rocks are formed by excessive heat and pressure.,FALSE
168,boolean,easy,Science: Nature,"Water always boils at 100C, 212F, 373.15K, no matter where you are.",FALSE
169,boolean,medium,Science: Nature,A person can get sunburned on a cloudy day.,TRUE
170,boolean,medium,Science: Nature,The Gympie Stinger is the deadliest plant in the world.,FALSE
171,boolean,hard,Science: Nature,The value of one Calorie is different than the value of one calorie.,TRUE
172,boolean,medium,Science: Nature,"In the periodic table, Potassiums symbol is the letter K.",TRUE
173,boolean,hard,Science: Nature,It was once believed that injecting shark cartilage into people would prevent them from contracting cancer.,TRUE
174,boolean,medium,Science: Nature,"Scientists accidentally killed the once known worlds oldest living creature, a mollusc, known to be aged as 507 years old.",TRUE
175,boolean,medium,Science: Nature,A defibrillator is used to start up a heartbeat once a heart has stopped beating.,FALSE
176,boolean,medium,Science: Nature,Steel is an alloy of Iron and Carbon.,TRUE
177,boolean,easy,Science: Nature,An atom contains a nucleus.,TRUE
178,boolean,medium,Science: Nature,The Doppler effect applies to light.,TRUE
179,boolean,easy,Science: Nature,A plant that has a life cycle for more than a year is known as an annual.,FALSE
180,boolean,easy,Science: Nature,An Astronomical Unit is the distance between Earth and the Moon.,FALSE
181,boolean,medium,Science: Computers,All program codes have to be compiled into an executable file in order to be run. This file can then be executed on any machine.,FALSE
182,boolean,easy,Science: Computers,HTML stands for Hypertext Markup Language.,TRUE
183,boolean,medium,Science: Computers,FLAC stands for Free Lossless Audio Condenser,FALSE
184,boolean,easy,Science: Computers,Linux was first created as an alternative to Windows XP.,FALSE
185,boolean,easy,Science: Computers,Ada Lovelace is often considered the first computer programmer.,TRUE
186,boolean,medium,Science: Computers,The common software-programming acronym I18N comes from the term Interlocalization.,FALSE
187,boolean,medium,Science: Computers,The last Windows operating system to be based on the Windows 9x kernel was Windows 98.,FALSE
188,boolean,hard,Science: Computers,DHCP stands for Dynamic Host Configuration Port.,FALSE
189,boolean,medium,Science: Computers,The very first recorded computer bug was a moth found inside a Harvard Mark II computer.,TRUE
190,boolean,easy,Science: Computers,Pointers were not used in the original C programming language; they were added later on in C++.,FALSE
191,boolean,easy,Science: Computers,The Windows ME operating system was released in the year 2000.,TRUE
192,boolean,easy,Science: Computers,RAM stands for Random Access Memory.,TRUE
193,boolean,medium,Science: Computers,A Boolean value of 0 represents which of these words?,FALSE
194,boolean,medium,Science: Computers,Its not possible to format a write-protected DVD-R Hard Disk.,TRUE
195,boolean,easy,Science: Computers,The Python programming language gets its name from the British comedy group Monty Python.,TRUE
196,boolean,easy,Science: Computers,Linus Torvalds created Linux and Git.,TRUE
197,boolean,medium,Science: Computers,"Linus Sebastian is the creator of the Linux kernel, which went on to be used in Linux, Android, and Chrome OS.",FALSE
198,boolean,medium,Science: Computers,The HTML5 standard was published in 2014.,TRUE
199,boolean,easy,Science: Computers,Time on Computers is measured via the EPOX System.,FALSE
200,boolean,easy,Science: Computers,The Windows 7 operating system has six main editions.,TRUE
201,boolean,easy,Geography,Tokyo is the capital of Japan.,TRUE
202,boolean,medium,Geography,Antarctica is the largest desert in the world.,TRUE
203,boolean,medium,Geography,The Sonoran Desert is located in eastern Africa.,FALSE
204,boolean,medium,Geography,The capital of the US State Ohio is the city of Chillicothe.,FALSE
205,boolean,medium,Geography,Is Tartu the capital of Estonia?,FALSE
206,boolean,hard,Geography,The two largest ethnic groups of Belgium are Flemish and Walloon. ,TRUE
207,boolean,easy,Geography,Greenland is covered with grass and Iceland covered with ice.,FALSE
208,boolean,easy,Geography,Nova Scotia is on the east coast of Canada.,TRUE
209,boolean,easy,Geography,There are no deserts in Europe.,TRUE
210,boolean,easy,Geography,"Rhode Island is actually located on the US mainland, despite its name.",TRUE
211,boolean,easy,Geography,California is larger than Japan.,TRUE
212,boolean,easy,Geography,St. Louis is the capital of the US State Missouri.,FALSE
213,boolean,medium,Geography,The Southeast Asian island of Borneo is politically divided among 3 countries.,TRUE
214,boolean,easy,Geography,New Haven is the capital city of the state of Connecticut in the United States.,FALSE
215,boolean,hard,Geography,"Switzerland has four national languages, English being one of them.",FALSE
216,boolean,easy,Geography,Vatican City is a country.,TRUE
217,boolean,medium,Geography,Gothenburg is the capital of Sweden.,FALSE
218,boolean,easy,Geography,Hungary is the only country in the world beginning with H.,FALSE
219,boolean,medium,Geography,There exists an island named Java.,TRUE
220,boolean,medium,Geography,Japan has left-hand side traffic.,TRUE
221,boolean,easy,Geography,Alaska is the largest state in the United States.,TRUE
222,boolean,easy,Geography,San Marino is the only country completely surrounded by another country.,FALSE
223,boolean,medium,Geography,"The title of the 1969 film Krakatoa, East_of Java is incorrect, as Krakatoa is in fact west of Java.",TRUE
224,boolean,medium,Geography,Mongolia was a part of the now non-existent U.S.S.R.,FALSE
225,boolean,medium,Geography,You could walk from Norway to North Korea while only passing through Russia.,TRUE
226,boolean,easy,Geography,A group of islands is called an archipelago.,TRUE
227,boolean,medium,Geography,Seoul is the capital of North Korea.,FALSE
228,boolean,medium,Geography,Liechtenstein does not have an airport.,TRUE
229,boolean,easy,Geography,Ottawa is the capital of Canada.,TRUE
230,boolean,easy,Geography,"There is an island in Japan called Ōkunoshima, A.K.A. Rabbit Island, so named because of its huge population of rabbits.",TRUE
231,boolean,medium,Geography,"There are no roads in/out of Juneau, Alaska.",TRUE
232,boolean,medium,Geography,The flag of South Africa features 7 colours.,FALSE
233,boolean,easy,Geography,Greenland is almost as big as Africa.,FALSE
234,boolean,easy,Geography,Toronto is the capital city of the North American country of Canada.,FALSE
235,boolean,medium,Geography,"The longest place named in the United States is Lake Chargoggagoggmanchauggagoggchaubunagungamaugg, located near Webster, MA.",TRUE
236,boolean,medium,Geography,Vietnam is the only country in the world that starts with V. ,FALSE
237,boolean,easy,Geography,The Republic of Malta is the smallest microstate worldwide.,FALSE
238,boolean,medium,Geography,The surface area of Russia is slightly larger than that of the dwarf planet Pluto.,TRUE
239,boolean,hard,Geography,Only one country in the world starts with the letter Q.,TRUE
240,boolean,easy,Geography,There is a city called Rome in every continent on Earth.,FALSE
241,boolean,hard,History,The fourth funnel of the RMS Titanic was fake designed to make the ship look more powerful and symmetrical.,TRUE
242,boolean,medium,History,"Sargon II, a king of the Neo-Assyrian Empire, was a direct descendant of Sargon of Akkad.",FALSE
243,boolean,easy,History,Former United States Presidents John Adams and Thomas Jefferson died within hours of each other.,TRUE
244,boolean,hard,History,Japan was part of the Allied Powers during World War I.,TRUE
245,boolean,easy,History,"In World War ll, Great Britian used inflatable tanks on the ports of Great Britain to divert Hitler away from Normandy/D-day landing.",TRUE
246,boolean,easy,History,Thomas Crapper was a plumber who invented the flushing toilet.,FALSE
247,boolean,medium,History,Abraham Lincoln was the first U.S. President to be born outside the borders of the thirteen original states. ,TRUE
248,boolean,easy,History,Adolf Hitler was tried at the Nuremberg trials.,FALSE
249,boolean,medium,History,"Sir Issac Newton served as a Member of Parliament, but the only recorded time he spoke was to complain about a draft in the chambers.",TRUE
250,boolean,medium,History,The M41 Walker Bulldog remains in service in some countries to this day.,TRUE
251,boolean,hard,History,The Kingdom of Prussia briefly held land in Estonia.,FALSE
252,boolean,medium,History,"In World War II, Hawker Typhoons served in the Pacific theater.",FALSE
253,boolean,medium,History,The two atomic bombs dropped on Japan by the United States in August 1945 were named Little Man and Fat Boy.,FALSE
254,boolean,easy,History,The Tiananmen Square protests of 1989 were held in Hong Kong.,FALSE
255,boolean,hard,History,"The Battle of Trafalgar took place on October 23rd, 1805",FALSE
256,boolean,medium,History,Theodore Roosevelt Jr. was the only General involved in the initial assault on D-Day.,TRUE
257,boolean,easy,History,The Cold War ended with Joseph Stalins death.,FALSE
258,boolean,medium,History,The first televised presidential debate was between Jimmy Carter and Gerald Ford.,FALSE
259,boolean,medium,History,The Hundred Years War was fought for more than a hundred years.,TRUE
260,boolean,easy,History,The United States Department of Homeland Security was formed in response to the September 11th attacks.,TRUE
